insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
SMITH GARY B,"President, CEO",2025-12-20,2025-12-23,10916,230.34,2514391.44,D,F,419717,False,True,True,0001032553-25-000058,https://www.sec.gov/Archives/edgar/data/936395/000103255325000058/0001032553-25-000058.txt
SMITH GARY B,"President, CEO",2025-12-20,2025-12-23,12547,230.34,2890075.98,D,F,407170,False,True,True,0001032553-25-000058,https://www.sec.gov/Archives/edgar/data/936395/000103255325000058/0001032553-25-000058.txt
SMITH GARY B,"President, CEO",2025-12-20,2025-12-23,8933,230.34,2057627.22,D,F,398237,False,True,True,0001032553-25-000058,https://www.sec.gov/Archives/edgar/data/936395/000103255325000058/0001032553-25-000058.txt
Rothenstein David M,SVP and Chief Strategy Officer,2025-12-20,2025-12-23,679,230.34,156400.86,D,F,220733,False,False,True,0001444157-25-000033,https://www.sec.gov/Archives/edgar/data/936395/000144415725000033/0001444157-25-000033.txt
Rothenstein David M,SVP and Chief Strategy Officer,2025-12-20,2025-12-23,204,230.34,46989.36,D,F,220529,False,False,True,0001444157-25-000033,https://www.sec.gov/Archives/edgar/data/936395/000144415725000033/0001444157-25-000033.txt
Rothenstein David M,SVP and Chief Strategy Officer,2025-12-20,2025-12-23,811,230.34,186805.74,D,F,219718,False,False,True,0001444157-25-000033,https://www.sec.gov/Archives/edgar/data/936395/000144415725000033/0001444157-25-000033.txt
Rothenstein David M,SVP and Chief Strategy Officer,2025-12-20,2025-12-23,436,230.34,100428.24,D,F,219282,False,False,True,0001444157-25-000033,https://www.sec.gov/Archives/edgar/data/936395/000144415725000033/0001444157-25-000033.txt
Rothenstein David M,SVP and Chief Strategy Officer,2025-12-20,2025-12-23,439,230.34,101119.26,D,F,218843,False,False,True,0001444157-25-000033,https://www.sec.gov/Archives/edgar/data/936395/000144415725000033/0001444157-25-000033.txt
Rothenstein David M,SVP and Chief Strategy Officer,2025-12-20,2025-12-23,8682,230.34,1999811.88,D,F,210161,False,False,True,0001444157-25-000033,https://www.sec.gov/Archives/edgar/data/936395/000144415725000033/0001444157-25-000033.txt
Rothenstein David M,SVP and Chief Strategy Officer,2025-12-20,2025-12-23,1819,230.34,418988.46,D,F,208342,False,False,True,0001444157-25-000033,https://www.sec.gov/Archives/edgar/data/936395/000144415725000033/0001444157-25-000033.txt
