fund_id,fund,manager,quarter,letter_date,source_file,source_document
highwest-partner,Highwest Partner,,2026Q1,2026-02-28,_system/reference/superinvestor-letters/2026Q1/Highwest Partner Letter - February 2026.txt,_system/reference/superinvestor-letters/2026Q1/Highwest Partner Letter - February 2026.pdf
highwest-partner,Highwest Partner,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Highwest Partner Letter - March 2026.txt,_system/reference/superinvestor-letters/2026Q1/Highwest Partner Letter - March 2026.pdf
horizon-kinetics,Horizon Kinetics,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Horizon-Kinetics-Q1-2026-Commentary-Final.txt,_system/reference/superinvestor-letters/2026Q1/Horizon-Kinetics-Q1-2026-Commentary-Final.pdf
how-to-improve-your,How To Improve Your,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/How To Improve Your Looks.txt,_system/reference/superinvestor-letters/2026Q1/How To Improve Your Looks.pdf
iguana-ucits,Iguana Ucits,,2026Q1,2026-01-31,_system/reference/superinvestor-letters/2026Q1/Iguana UCITS Newsletter - January 2026.txt,_system/reference/superinvestor-letters/2026Q1/Iguana UCITS Newsletter - January 2026.pdf
ikarian-executed,Ikarian Executed.,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Ikarian_Capital_Investor_Letter_Final_Executed.01 2026_5_14_Q1_.txt,_system/reference/superinvestor-letters/2026Q1/Ikarian_Capital_Investor_Letter_Final_Executed.01 2026_5_14_Q1_.pdf
incline-global,Incline Global,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Incline Global Q1 2026 Commentary.txt,_system/reference/superinvestor-letters/2026Q1/Incline Global Q1 2026 Commentary.pdf
invenomic,Invenomic,,2026Q1,2026-02-28,_system/reference/superinvestor-letters/2026Q1/Invenomic Fund LP Commentary - February 2026.txt,_system/reference/superinvestor-letters/2026Q1/Invenomic Fund LP Commentary - February 2026.pdf
invenomic,Invenomic,,2026Q1,2026-01-31,_system/reference/superinvestor-letters/2026Q1/Invenomic Fund LP Commentary - January 2026.txt,_system/reference/superinvestor-letters/2026Q1/Invenomic Fund LP Commentary - January 2026.pdf
invenomic,Invenomic,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Invenomic Fund LP Commentary - March 2026.txt,_system/reference/superinvestor-letters/2026Q1/Invenomic Fund LP Commentary - March 2026.pdf
jdp,Jdp,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/JDP 1Q-2026-Investor-Letter_final-1.txt,_system/reference/superinvestor-letters/2026Q1/JDP 1Q-2026-Investor-Letter_final-1.pdf
jetha-global-2026q1,Jetha Global 2026q1,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Jetha Global Quarterly Update 2026Q1_.txt,_system/reference/superinvestor-letters/2026Q1/Jetha Global Quarterly Update 2026Q1_.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.01.04.txt,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.01.04.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.01.25-Vol.259-Trading-IPOs.txt,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.01.25-Vol.259-Trading-IPOs.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.02.01-Vol.260-Existing-Home-Sales.txt,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.02.01-Vol.260-Existing-Home-Sales.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.02.15-Vol.262-Reflections-on-the-Energy-Trade.txt,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.02.15-Vol.262-Reflections-on-the-Energy-Trade.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.02.22-Vol.263-The-Return-of-the-Fallen-Angels.txt,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.02.22-Vol.263-The-Return-of-the-Fallen-Angels.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.03.15-Vol.266-Trading-the-Chaos.txt,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.03.15-Vol.266-Trading-the-Chaos.pdf
kedm,KEDM (Kuppy's Event Driven Monitor),Harris Kupperman,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.03.22-Vol.267-Shorting-Through-the-Cycle.txt,_system/reference/superinvestor-letters/2026Q1/KEDM-2026.03.22-Vol.267-Shorting-Through-the-Cycle.pdf
kyma,Kyma,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Kyma Capital - Quarterly Investor Letter - Q1 2026.txt,_system/reference/superinvestor-letters/2026Q1/Kyma Capital - Quarterly Investor Letter - Q1 2026.pdf
lakewood,Lakewood,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Lakewood Capital_2026 Q1 Letter.txt,_system/reference/superinvestor-letters/2026Q1/Lakewood Capital_2026 Q1 Letter.pdf
landb-cgf,Landb Cgf,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/LandB-02-2026-Investor-Letter-CGF-T.txt,_system/reference/superinvestor-letters/2026Q1/LandB-02-2026-Investor-Letter-CGF-T.pdf
