2026-07-02T01:39:20.137949 Starting download for MCO
2026-07-02T01:41:16.710274 OK 558,378 bytes -> /workspace/MCO/investor-documents/ir-mco/062e8f1c-bd90-411c-8abb-c9e345b9f174.pdf
2026-07-02T01:41:17.735997 OK 169,537 bytes -> /workspace/MCO/investor-documents/ir-mco/1500062008.pdf
2026-07-02T01:41:18.873787 OK 496,163 bytes -> /workspace/MCO/investor-documents/ir-mco/1500061984.pdf
2026-07-02T01:41:19.548088 OK 683,853 bytes -> /workspace/MCO/investor-documents/ir-mco/3bf57ba6-789e-496c-828d-3db467c8bce8.pdf
2026-07-02T01:41:20.434153 OK 426,029 bytes -> /workspace/MCO/investor-documents/ir-mco/1500061922.pdf
2026-07-02T01:41:21.152348 OK 699,792 bytes -> /workspace/MCO/investor-documents/ir-mco/41110f50-b586-4715-8499-e418c4a4cb63.pdf
2026-07-02T01:41:21.899822 OK 515,528 bytes -> /workspace/MCO/investor-documents/ir-mco/1500061908.pdf
2026-07-02T01:41:23.269173 OK 1,348,893 bytes -> /workspace/MCO/investor-documents/ir-mco/8e55d8e0-e252-4b95-ba15-9b35f7078239.pdf
2026-07-02T01:41:23.966173 OK 358,497 bytes -> /workspace/MCO/investor-documents/ir-mco/1500061897.pdf
2026-07-02T01:41:24.744737 OK 837,885 bytes -> /workspace/MCO/investor-documents/ir-mco/56e4d675-4181-4058-898e-d101cd93da13.pdf
2026-07-02T01:41:26.466709 OK 438,312 bytes -> /workspace/MCO/investor-documents/ir-mco/1500061887.pdf
2026-07-02T01:41:27.173106 OK 648,711 bytes -> /workspace/MCO/investor-documents/ir-mco/1ad36f8e-2be9-43be-ba68-cc8890f7a3b5.pdf
2026-07-02T01:41:27.646718 OK 51,229 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188710.pdf
2026-07-02T01:41:29.898457 OK 1,376,130 bytes -> /workspace/MCO/investor-documents/ir-mco/ff5718a3-ab69-4d18-ac8b-5dc97cbadf5b.pdf
2026-07-02T01:41:30.841894 OK 1,836,510 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188539.pdf
2026-07-02T01:41:31.524155 OK 421,762 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188540.pdf
2026-07-02T01:41:34.051111 OK 39,705 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188705.pdf
2026-07-02T01:41:34.818069 OK 578,154 bytes -> /workspace/MCO/investor-documents/ir-mco/5e0288ca-dfb4-4c80-9899-a20e01d69892.pdf
2026-07-02T01:41:35.932946 OK 2,598,711 bytes -> /workspace/MCO/investor-documents/ir-mco/1001188536.pdf
2026-07-02T01:41:36.847734 OK 832,423 bytes -> /workspace/MCO/investor-documents/ir-mco/1dbfb342-54a8-4df5-a29b-a8646bb1fd2a.pdf
