Date,nikkei,topix,value_pbr,growth,reit,leveraged,usdjpy,value_spread
2024-01-29 00:00:00,,,,,,,148.13999938964844,
2024-01-29 15:00:00,36207.78515625,2632.1640625,1009.9091186523438,557.5999755859375,1679.822998046875,24445.0,,
2024-01-30 00:00:00,,,,,,,147.46800231933594,
2024-01-30 15:00:00,36430.39453125,2658.550537109375,1024.09326171875,554.5,1677.0966796875,24760.0,,
2024-01-31 00:00:00,,,,,,,147.36900329589844,
2024-01-31 15:00:00,36101.3203125,2638.138427734375,1016.5284423828125,547.2999877929688,1657.55859375,24335.0,,
2024-02-01 00:00:00,,,,,,,146.99600219726562,
2024-02-01 15:00:00,36314.25,2646.104248046875,1016.5284423828125,555.5,1670.7354736328125,24590.0,,
2024-02-02 00:00:00,,,,,,,146.4510040283203,
2024-02-04 15:00:00,36536.859375,2667.01416015625,1027.875732421875,559.0999755859375,1670.2811279296875,24880.0,,
2024-02-05 00:00:00,,,,,,,148.50100708007812,
2024-02-05 15:00:00,36304.57421875,2645.108642578125,1016.5284423828125,558.7000122070312,1662.1024169921875,24550.0,,
2024-02-06 00:00:00,,,,,,,148.63999938964844,
2024-02-06 15:00:00,36285.21484375,2656.55908203125,1023.1476440429688,554.9000244140625,1646.199462890625,24540.0,,
2024-02-07 00:00:00,,,,,,,147.8179931640625,
2024-02-07 15:00:00,37020.7890625,2670.001220703125,1022.2020263671875,551.0,1647.5623779296875,25535.0,,
2024-02-08 00:00:00,,,,,,,148.08599853515625,
2024-02-08 15:00:00,37030.46875,2664.52490234375,1011.8003540039062,551.2000122070312,1640.2923583984375,25590.0,,
2024-02-09 00:00:00,,,,,,,149.25900268554688,
2024-02-12 00:00:00,,,,,,,149.16700744628906,
2024-02-12 15:00:00,38114.4765625,2723.769775390625,1029.766845703125,559.4000244140625,1638.9293212890625,27060.0,,
2024-02-13 00:00:00,,,,,,,149.40499877929688,
2024-02-13 15:00:00,37882.19140625,2691.4091796875,1019.365234375,560.5999755859375,1628.0242919921875,26710.0,,
2024-02-14 00:00:00,,,,,,,150.7239990234375,
2024-02-14 15:00:00,38317.73046875,2704.353271484375,1022.2020263671875,566.7999877929688,1607.123046875,27325.0,,
2024-02-15 00:00:00,,,,,,,150.54400634765625,
2024-02-15 15:00:00,38666.16015625,2738.20751953125,1040.1685791015625,588.7000122070312,1600.307373046875,27810.0,,
2024-02-16 00:00:00,,,,,,,149.9459991455078,
2024-02-18 15:00:00,38598.40625,2751.649658203125,1057.189453125,600.0,1590.765625,27745.0,,
2024-02-19 00:00:00,,,,,,,150.09100341796875,
2024-02-19 15:00:00,38540.33984375,2750.65380859375,1051.515869140625,599.0,1589.8568115234375,27640.0,,
2024-02-20 00:00:00,,,,,,,150.27000427246094,
2024-02-20 15:00:00,38433.87109375,2736.714111328125,1048.6790771484375,580.0,1594.854736328125,27485.0,,
2024-02-21 00:00:00,,,,,,,149.93899536132812,
2024-02-21 15:00:00,39275.9140625,2774.05322265625,1060.971923828125,577.0999755859375,1585.3131103515625,28685.0,,
2024-02-22 00:00:00,,,,,,,150.35499572753906,
2024-02-23 00:00:00,,,,,,,150.48300170898438,
2024-02-25 15:00:00,39353.34375,2786.49951171875,1060.0263671875,597.2999877929688,1607.123046875,28790.0,,
2024-02-26 00:00:00,,,,,,,150.4980010986328,
2024-02-26 15:00:00,39421.09375,2789.984375,1063.808837890625,605.5,1609.849365234375,28880.0,,
2024-02-27 00:00:00,,,,,,,150.5659942626953,
