date,ticker,shares,nav_jpy,aum_jpym,aum_method,tag,creation_unit_shares,redemption_unit_shares
2021-03-01,1551.T,,4932.14404296875,12717.766376385887,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-02,1551.T,,4912.83984375,12667.989586898713,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-03,1551.T,,4854.92822265625,12518.661736549724,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-04,1551.T,,4825.97265625,12443.998440903364,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-05,1551.T,,4806.66845703125,12394.22165141619,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-08,1551.T,,4753.5830078125,12257.338313203061,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-09,1551.T,,4768.06103515625,12294.670590554375,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-10,1551.T,,4821.146484375,12431.553928767504,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-11,1551.T,,4811.49462890625,12406.66616355205,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-12,1551.T,,4922.49169921875,12692.877352114168,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-15,1551.T,,4883.8837890625,12593.325032196086,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-16,1551.T,,4932.14404296875,12717.766376385887,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-17,1551.T,,4970.751953125,12817.318696303968,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-18,1551.T,,5038.3154296875,12991.53431186841,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-19,1551.T,,4980.404296875,12842.207720575687,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-22,1551.T,,5009.35986328125,12916.87101622205,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-23,1551.T,,5076.92333984375,13091.086631786491,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-24,1551.T,,4951.4482421875,12767.54316587306,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-25,1551.T,,4999.70751953125,12891.981991950332,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-26,1551.T,,4999.70751953125,12891.981991950332,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-29,1551.T,,5067.271484375,13066.198866571038,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-30,1551.T,,5163.79052734375,13315.077777781844,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-03-31,1551.T,,5221.7021484375,13464.405628130831,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-01,1551.T,,5279.61474609375,13613.735996592352,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-02,1551.T,,5356.82958984375,13812.838118315982,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-05,1551.T,,5308.5703125,13688.399292238711,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-06,1551.T,,5298.91796875,13663.510267966993,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-07,1551.T,,5347.17724609375,13787.949094044261,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-08,1551.T,,5376.13330078125,13862.613648746887,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-09,1551.T,,5395.4375,13912.390438234064,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-12,1551.T,,5269.9619140625,13588.845713264365,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-13,1551.T,,5279.61474609375,13613.735996592352,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-14,1551.T,,5269.9619140625,13588.845713264365,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-15,1551.T,,5279.61474609375,13613.735996592352,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-04-16,1551.T,,5289.26611328125,13638.62250275154,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
