2026-07-10T10:30:10.347508 Starting download for WDAY
2026-07-10T18:13:44.945960 OK 1,279,232 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2023-first-quarter-investor-presentation.pdf
2026-07-10T18:13:45.265995 OK 758,704 bytes -> /workspace/WDAY/investor-documents/ir-wday/d7691247-8cee-46bd-80ee-88dccac0d79c.pdf
2026-07-10T18:13:45.612271 OK 1,420,270 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2023-second-quarter-investor-presentation.pdf
2026-07-10T18:13:45.937765 OK 748,836 bytes -> /workspace/WDAY/investor-documents/ir-wday/7e5a117b-c5c9-4949-b6b0-b7c8d5e7d5b0.pdf
2026-07-10T18:13:46.637426 OK 1,310,707 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2023-third-quarter-investor-presentation.pdf
2026-07-10T18:13:47.003703 OK 1,362,738 bytes -> /workspace/WDAY/investor-documents/ir-wday/e6d17f38-ad45-4dd4-aa74-1a9978e51d2f.pdf
2026-07-10T18:13:47.353134 OK 1,168,734 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2023-fourth-quarter-investor-presentation.pdf
2026-07-10T18:13:47.672602 OK 692,318 bytes -> /workspace/WDAY/investor-documents/ir-wday/4a3b689c-d56f-425d-b515-106a957c113c.pdf
2026-07-10T18:13:48.299446 OK 1,201,765 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2024-first-quarter-investor-presentation.pdf
2026-07-10T18:13:48.625675 OK 751,279 bytes -> /workspace/WDAY/investor-documents/ir-wday/c480e9f1-5551-4c5b-b6a2-3e764ebf4841.pdf
2026-07-10T18:13:49.493872 OK 2,501,141 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2024-second-quarter-investor-presentation.pdf
2026-07-10T18:13:50.201590 OK 752,819 bytes -> /workspace/WDAY/investor-documents/ir-wday/d5ee5310-3c9d-4452-b0f8-033e33a054e8.pdf
2026-07-10T18:13:50.892868 OK 1,255,085 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2024-third-quarter-investor-presentation.pdf
2026-07-10T18:13:51.263824 OK 2,393,275 bytes -> /workspace/WDAY/investor-documents/ir-wday/5b152f06-9be4-4263-ba36-9e4f206f7318.pdf
2026-07-10T18:13:51.926760 OK 1,215,377 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2024-fourth-quarter-investor-presentation.pdf
2026-07-10T18:13:52.247307 OK 664,449 bytes -> /workspace/WDAY/investor-documents/ir-wday/12f010a6-7a09-44a7-9a85-e047c5eb6683.pdf
2026-07-10T18:13:52.931426 OK 1,057,864 bytes -> /workspace/WDAY/investor-documents/ir-wday/workday-fiscal-2025-first-quarter-investor-presentation.pdf
