2026-07-10T10:30:20.041885 Starting download for XEL
2026-07-10T17:34:04.078474 OK 715,731 bytes -> /workspace/XEL/investor-documents/ir-xel/XEL-Earnings-Report-Presentation-2020-Q4.pdf
2026-07-10T17:34:04.640185 OK 333,013 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-2020-Q4-Final.pdf
2026-07-10T17:34:05.563579 OK 3,994,359 bytes -> /workspace/XEL/investor-documents/ir-xel/Annual-Report-2019.pdf
2026-07-10T17:34:06.720957 OK 5,422,109 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-Proxy2020.pdf
2026-07-10T17:34:07.234447 OK 102,693 bytes -> /workspace/XEL/investor-documents/ir-xel/voting-results.pdf
2026-07-10T17:34:07.721705 OK 7,146,663 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2021.pdf
2026-07-10T17:34:07.841972 SKIP exists -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2021-Q1-Final.pdf
2026-07-10T17:34:07.962178 SKIP exists -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Release-2021-Q1-Final.pdf
2026-07-10T17:34:08.082383 SKIP exists -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-2021-Q2-Final.pdf
2026-07-10T17:34:08.202608 SKIP exists -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2021-Q2.pdf
2026-07-10T17:34:08.322820 SKIP exists -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-2021-Q3-Final.pdf
2026-07-10T17:34:08.443076 SKIP exists -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2021-Q3-Final.pdf
2026-07-10T17:34:08.563283 SKIP exists -> /workspace/XEL/investor-documents/ir-xel/Xcel-Earnings-Release-Q4-2021-For-Business-Wire.pdf
2026-07-10T17:34:08.683490 SKIP exists -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Earnings-Presentation-2021-Q4.pdf
2026-07-10T17:34:09.240618 OK 105,041 bytes -> /workspace/XEL/investor-documents/ir-xel/Finalvote2021-for-website.pdf
2026-07-10T17:34:09.804034 OK 135,269 bytes -> /workspace/XEL/investor-documents/ir-xel/Proxy-Supplement-051221-for-posting.pdf
2026-07-10T17:34:11.148739 OK 7,824,518 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2022.pdf
